Data set for transition bands 25%..45%, using the "Blackman-Nuttall" window
----------------------------------------------------------------------------

Precise "fo", "hl" and "pwr" values for the specified "transition band" and
"attenuation" values. This data set can be used directly, or used for
obtaining equations (e.g. via the "Eureqa" application).

fo - "-3 dB" frequency offset multiplier
hl - length of half-band filter in samples (taps)
tb - transition band in percent * 0.01
pwr - power factor used in the generateBandPow() function
atten - resulting attenuation at 0.5 normalized frequency
req_atten - atten at modeling time (not important), used for check
atten_3db - resulting attenuation at -3 dB point.

fo	hl	tb	pwr	atten	req_atten	atten_3db
6.5582395832e-001	1.2198395466e+001	4.5078872549e-001	2.5000000000e-001	-33.467436	-37.25343	-3.01806
6.6530691401e-001	1.2385261338e+001	4.3933841204e-001	2.5000000000e-001	-32.652355	-34.47517	-3.01775
6.7245563576e-001	1.2621204357e+001	4.2999066701e-001	2.5000000000e-001	-32.508906	-32.80208	-3.01710
6.7816065392e-001	1.2890479490e+001	4.2201531181e-001	2.5000000000e-001	-32.797694	-31.73030	-3.01618
6.8288879878e-001	1.3185266029e+001	4.1502519019e-001	2.5000000000e-001	-33.421509	-31.03997	-3.01491
6.8692410763e-001	1.3501043989e+001	4.0878052198e-001	2.5000000000e-001	-34.347167	-30.61493	-3.01327
6.7241139366e-001	1.4206211350e+001	4.1871662245e-001	2.5000000000e-001	-48.401712	-40.74780	-2.97891
6.7375937305e-001	1.4603122891e+001	4.1515522296e-001	2.5000000000e-001	-77.308934	-44.66454	-2.97364
6.8251992573e-001	1.4848153540e+001	4.0412455912e-001	2.5000000000e-001	-60.514161	-46.26843	-2.99701
6.9662885769e-001	1.4983854538e+001	3.8961343256e-001	2.5000000000e-001	-44.861660	-44.07846	-2.99394
7.1130596321e-001	1.5114917617e+001	3.7464127850e-001	2.5000000000e-001	-38.384661	-40.92189	-2.99594
7.2466669817e-001	1.5281330015e+001	3.6091351115e-001	2.5000000000e-001	-34.678933	-38.01153	-3.00159
7.1874177040e-001	1.5869520271e+001	3.6433500329e-001	2.5000000000e-001	-42.066928	-40.13210	-2.99608
7.2802136530e-001	1.6137259520e+001	3.5445026356e-001	2.5000000000e-001	-37.196919	-38.46313	-3.03856
7.3519693676e-001	1.6459151547e+001	3.4653031899e-001	2.5000000000e-001	-36.786530	-37.36330	-3.03921
7.4169246899e-001	1.6804457176e+001	3.3931168160e-001	2.5000000000e-001	-36.584128	-36.46259	-3.03931
7.4777241704e-001	1.7167859124e+001	3.3255452226e-001	2.5000000000e-001	-36.538750	-35.68010	-3.03681
7.5349349006e-001	1.7548633442e+001	3.2620303407e-001	2.5000000000e-001	-36.639141	-34.99138	-3.03094
7.4691634973e-001	1.8234256748e+001	3.3094690112e-001	2.5000000000e-001	-46.410348	-42.91223	-2.85951
7.5658019753e-001	1.8541389889e+001	3.1368322376e-001	2.5000000000e-001	-42.500901	-41.88655	-3.06008
7.6571556274e-001	1.8869787399e+001	3.0379719860e-001	2.5000000000e-001	-39.702725	-40.58388	-3.03502
7.7533776644e-001	1.9194675170e+001	2.9289105754e-001	2.5000000000e-001	-36.892124	-38.77964	-3.02655
7.7349445592e-001	1.9817630435e+001	2.9245550676e-001	2.5000000000e-001	-42.633233	-39.78599	-3.03331
7.8102982559e-001	2.0215222994e+001	2.8357255650e-001	2.5000000000e-001	-38.209971	-38.54659	-3.01239
7.8701509920e-001	2.0663330180e+001	2.7622518422e-001	2.5000000000e-001	-37.881967	-37.66503	-3.01367
7.9252821094e-001	2.1135176270e+001	2.6941858365e-001	2.5000000000e-001	-37.711405	-36.89647	-3.01371
7.9778844101e-001	2.1625695803e+001	2.6294186370e-001	2.5000000000e-001	-37.635464	-36.17916	-3.01311
7.9801761999e-001	2.2268069776e+001	2.6121121577e-001	2.5000000000e-001	-41.559581	-41.23801	-2.98772
8.0535977241e-001	2.2727012241e+001	2.5253332147e-001	2.5000000000e-001	-39.546166	-40.10047	-3.00374
8.1277042759e-001	2.3195386308e+001	2.4428686912e-001	2.5000000000e-001	-37.533552	-38.77121	-3.00389
8.1275097598e-001	2.3891819688e+001	2.4302097122e-001	2.5000000000e-001	-41.775188	-39.49862	-3.00240

6.3834750231e-001	1.3295579554e+001	4.6687892551e-001	2.9859621278e-001	-37.279998	-43.60907	-3.01667
6.5287865696e-001	1.3389648914e+001	4.5136480674e-001	2.9859621278e-001	-34.692584	-37.87495	-3.01740
6.6266540280e-001	1.3587657424e+001	4.3990197467e-001	2.9859621278e-001	-33.812066	-35.03645	-3.01747
6.7007308694e-001	1.3840568701e+001	4.3055194926e-001	2.9859621278e-001	-33.662002	-33.32627	-3.01707
6.5723394515e-001	1.4534274200e+001	4.3860871960e-001	2.9859621278e-001	-42.585689	-39.82335	-2.99166
6.5983766103e-001	1.4911229693e+001	4.3368741224e-001	2.9859621278e-001	-46.791360	-40.84472	-2.98585
6.5982828426e-001	1.5358784843e+001	4.3012552500e-001	2.9859621278e-001	-68.641643	-43.90614	-3.00623
6.6007737529e-001	1.5813578622e+001	4.2745522133e-001	2.9859621278e-001	-49.045313	-49.01293	-3.00281
6.6823533441e-001	1.6089138782e+001	4.1801481584e-001	2.9859621278e-001	-50.670728	-51.45648	-3.01345
6.8396099577e-001	1.6190793092e+001	4.0207163989e-001	2.9859621278e-001	-43.562889	-48.43810	-3.01941
6.8648176364e-001	1.6615280549e+001	3.9778343342e-001	2.9859621278e-001	-47.174521	-47.27226	-3.02288
6.9940700026e-001	1.6797472292e+001	3.8448373600e-001	2.9859621278e-001	-42.520046	-44.54097	-3.02995
7.0960459534e-001	1.7052761324e+001	3.7367235754e-001	2.9859621278e-001	-40.393370	-42.39783	-3.03645
7.1854338295e-001	1.7345841084e+001	3.6406542281e-001	2.9859621278e-001	-39.101072	-40.66824	-3.04192
7.2665825233e-001	1.7666697477e+001	3.5528031345e-001	2.9859621278e-001	-38.257455	-39.22751	-3.04561
7.3409500860e-001	1.8012356579e+001	3.4718689768e-001	2.9859621278e-001	-37.684044	-38.01393	-2.93533
7.2289595204e-001	1.8840144908e+001	3.5578644331e-001	2.9859621278e-001	-54.938078	-45.98431	-2.94377
7.2946845545e-001	1.9230507255e+001	3.4329876571e-001	2.9859621278e-001	-56.330982	-46.47271	-3.08153
7.3666032107e-001	1.9614046616e+001	3.3510495053e-001	2.9859621278e-001	-55.482455	-46.68744	-3.06543
7.4612227849e-001	1.9946270206e+001	3.2435114932e-001	2.9859621278e-001	-49.142930	-45.59721	-3.05899
7.5686061876e-001	2.0253170651e+001	3.1239869733e-001	2.9859621278e-001	-39.444975	-43.48127	-3.00757
7.5872481455e-001	2.0809510624e+001	3.0859541177e-001	2.9859621278e-001	-42.058003	-43.07790	-3.01058
7.6635362747e-001	2.1220429145e+001	2.9964535994e-001	2.9859621278e-001	-40.804888	-41.73198	-3.01161
7.7332894171e-001	2.1659894689e+001	2.9137920275e-001	2.9859621278e-001	-39.969558	-40.52058	-3.01242
7.7988515142e-001	2.2122142099e+001	2.8357996801e-001	2.9859621278e-001	-39.409788	-39.41728	-2.99861
7.7467615263e-001	2.2939020369e+001	2.8669257657e-001	2.9859621278e-001	-50.958931	-46.01439	-2.99776
7.8168713782e-001	2.3415277699e+001	2.7825932308e-001	2.9859621278e-001	-49.173090	-45.45238	-3.00797
7.8925039713e-001	2.3886619654e+001	2.6973713567e-001	2.9859621278e-001	-46.443798	-44.52083	-3.00462
7.9285185387e-001	2.4491460384e+001	2.6494371623e-001	2.9859621278e-001	-43.369536	-43.71622	-3.02166
7.9991317499e-001	2.5003517117e+001	2.5702125310e-001	2.9859621278e-001	-41.962520	-42.62486	-3.02563
8.0632074914e-001	2.5548966795e+001	2.4977866213e-001	2.9859621278e-001	-40.974012	-41.50520	-3.02970
8.1239520214e-001	2.6118669646e+001	2.4291653015e-001	2.9859621278e-001	-40.157398	-40.41328	-2.95979

6.3847795613e-001	1.5872373594e+001	4.5671154747e-001	3.6676836192e-001	-49.507436	-44.79774	-3.01498
6.4153287923e-001	1.6270694470e+001	4.5130203492e-001	3.6676836192e-001	-45.262445	-45.17496	-3.00723
6.4285273646e-001	1.6724407356e+001	4.4746779008e-001	3.6676836192e-001	-49.408750	-47.06749	-3.00746
6.4221486324e-001	1.7243249261e+001	4.4547487524e-001	3.6676836192e-001	-58.148876	-51.42414	-3.00726
