Data set for transition bands 0.5%..25%, using the "Nuttall" window
-------------------------------------------------------------------

Precise "fo", "hl" and "pwr" values for the specified "transition band" and
"attenuation" values. This data set can be used directly, or used for
obtaining equations (e.g. via the "Eureqa" application).

fo - "-3 dB" frequency offset multiplier
hl - length of half-band filter in samples (taps)
tb - transition band in percent * 0.01
pwr - power factor used in the generateBandPow() function
atten - resulting attenuation at 0.5 normalized frequency
req_atten - atten at modeling time (not important), used for check
atten_3db - resulting attenuation at -3 dB point.

fo	hl	tb	pwr	atten	req_atten	atten_3db
7.8092814947e-001	2.0488440596e+001	2.8447049091e-001	2.5000000000e-001	-37.854668	-38.22355	-3.01580
7.9424519440e-001	2.2159403826e+001	2.6645340601e-001	2.5000000000e-001	-39.973021	-39.07915	-3.00449
8.1366024937e-001	2.3793714901e+001	2.4334488527e-001	2.5000000000e-001	-37.380960	-38.40975	-3.00416
8.2654642094e-001	2.5765038067e+001	2.2747291707e-001	2.5000000000e-001	-37.643373	-37.11099	-3.02610
8.3952367364e-001	2.7903441839e+001	2.0881922245e-001	2.5000000000e-001	-38.439037	-38.66014	-3.02011
8.5036861692e-001	3.0302341229e+001	1.9427019100e-001	2.5000000000e-001	-39.380284	-39.10313	-3.00446
8.6292562332e-001	3.2847530811e+001	1.7876086376e-001	2.5000000000e-001	-38.401309	-38.39190	-3.01876
8.7438765564e-001	3.5658638819e+001	1.6358052971e-001	2.5000000000e-001	-38.287908	-38.69636	-3.01593
8.8363530666e-001	3.8814000189e+001	1.5129437280e-001	2.5000000000e-001	-39.041620	-39.05950	-3.00689
8.9309323504e-001	4.2243252525e+001	1.3955614586e-001	2.5000000000e-001	-38.930314	-38.81750	-2.99349
9.0201968906e-001	4.6007731167e+001	1.2745456192e-001	2.5000000000e-001	-38.657496	-38.54656	-3.01089
9.1007574029e-001	5.0160514424e+001	1.1732056088e-001	2.5000000000e-001	-38.783456	-38.70786	-3.00120
9.1758254780e-001	5.4725162491e+001	1.0723420621e-001	2.5000000000e-001	-38.830999	-38.84560	-3.00821
9.2477749524e-001	5.9729329179e+001	9.7953646504e-002	2.5000000000e-001	-38.504036	-38.64769	-3.01292
9.3102420185e-001	6.5261432788e+001	8.9903881473e-002	2.5000000000e-001	-38.512382	-38.46979	-3.01403
9.3689771680e-001	7.1337531848e+001	8.2166240405e-002	2.5000000000e-001	-38.653549	-38.71749	-3.00893
9.4226701556e-001	7.8024133889e+001	7.5150940924e-002	2.5000000000e-001	-38.620131	-38.59200	-3.01038
9.4727329722e-001	8.5372959205e+001	6.8641841389e-002	2.5000000000e-001	-38.524137	-38.49091	-3.01087
9.5183905847e-001	9.3459788422e+001	6.2703100537e-002	2.5000000000e-001	-38.524264	-38.49345	-3.01079
9.5598309261e-001	1.0236012067e+002	5.7304498735e-002	2.5000000000e-001	-38.674138	-38.67349	-3.00933
9.5983934820e-001	1.1214376592e+002	5.2301544478e-002	2.5000000000e-001	-38.654138	-38.64752	-3.01040
9.6335340823e-001	1.2290816444e+002	4.7724577898e-002	2.5000000000e-001	-38.663373	-38.67820	-3.00958
9.6657223765e-001	1.3474874815e+002	4.3524421239e-002	2.5000000000e-001	-38.658943	-38.66872	-3.00978
9.6954207397e-001	1.4776959429e+002	3.9663805534e-002	2.5000000000e-001	-38.600989	-38.62801	-3.01097
