Data set for transition bands 22%..40%
--------------------------------------

Precise "fo", "hl" and "pwr" values for the specified "transition band" and
"attenuation" values. This data set can be used directly, or used for
obtaining equations (e.g. via the "Eureqa" application).

fo - "-3 dB" frequency offset multiplier
hl - length of half-band filter in samples (taps)
tb - transition band in percent * 0.01
pwr - power factor used in the generateBandPow() function
atten - resulting attenuation at 0.5 normalized frequency
req_atten - atten at modeling time (not important), used for check
atten_3db - resulting attenuation at -3 dB point.

fo	hl	tb	pwr	atten	req_atten	atten_3db
6.5076122153e-001	1.7297901302e+001	4.3653024872e-001	4.9823633236e-001	-80.496338	-51.01832	-3.00669
6.6329924621e-001	1.7819473816e+001	4.2181393332e-001	4.9823633236e-001	-61.769402	-54.60410	-3.01156
6.8444074203e-001	1.8132505805e+001	3.9987978381e-001	4.9823633236e-001	-46.702770	-48.85141	-3.02061
7.0274958985e-001	1.8543101558e+001	3.8066088329e-001	4.9823633236e-001	-41.732047	-44.28225	-3.01743
7.1592233239e-001	1.9112010124e+001	3.6621655356e-001	4.9823633236e-001	-40.477058	-41.89656	-2.99637
7.1798121674e-001	2.0010064711e+001	3.6040909248e-001	4.9823633236e-001	-47.308296	-44.49442	-3.01148
7.2197039246e-001	2.0894476139e+001	3.5214988920e-001	4.9823633236e-001	-51.474237	-48.08107	-3.01307
7.3282013302e-001	2.1614379957e+001	3.3822818582e-001	4.9823633236e-001	-48.989848	-48.75252	-3.01282
7.4653158240e-001	2.2278260997e+001	3.2206813033e-001	4.9823633236e-001	-44.968551	-46.23191	-3.01145
7.5980221285e-001	2.2983608644e+001	3.0658383386e-001	4.9823633236e-001	-42.257047	-43.55468	-3.00910
7.6405152574e-001	2.3998573296e+001	2.9951759169e-001	4.9823633236e-001	-47.322025	-45.42942	-3.00826
7.7032982061e-001	2.4993130675e+001	2.9076328104e-001	4.9823633236e-001	-48.442645	-47.41243	-3.00986
7.8029450865e-001	2.5907655813e+001	2.7889491850e-001	4.9823633236e-001	-46.406825	-46.83147	-3.01404
7.9131818574e-001	2.6824079143e+001	2.6628025064e-001	4.9823633236e-001	-44.074847	-45.00054	-3.01014
7.9765605133e-001	2.7941492685e+001	2.5788840867e-001	4.9823633236e-001	-46.636018	-45.58103	-3.00984
8.0393007101e-001	2.9109603687e+001	2.4894447401e-001	4.9823633236e-001	-47.288895	-46.94345	-3.01180
8.1273783744e-001	3.0233845301e+001	2.3795008567e-001	4.9823633236e-001	-45.663896	-46.11928	-3.01075
8.2112476410e-001	3.1421290257e+001	2.2760531194e-001	4.9823633236e-001	-45.002328	-45.16294	-3.00893
8.2641238102e-001	3.2781260481e+001	2.2030563639e-001	4.9823633236e-001	-46.947409	-46.47019	-3.01005
8.3386998336e-001	3.4112490042e+001	2.1117130359e-001	4.9823633236e-001	-45.896635	-46.17753	-3.01251
8.4129987289e-001	3.5501789007e+001	2.0226118742e-001	4.9823633236e-001	-45.413668	-45.45489	-3.00584

6.8116582138e-001	1.4275598826e+001	4.1046926400e-001	3.5000000000e-001	-41.695661	-36.63948	-2.99928
6.8247391666e-001	1.4960648679e+001	4.0492440280e-001	3.5000000000e-001	-58.591690	-43.92682	-2.99135
