Precise "fo", "hl" and "pwr" values for the specified "transition band" and
"attenuation" values. This data set can be used directly, or used for
obtaining equations (e.g. via the "Eureqa" application).

fo - "-3 dB" frequency offset multiplier
hl - length of half-band filter in samples (taps)
tb - transition band in percent * 0.01
pwr - power factor used in the generateBandPow() function
atten - resulting attenuation at 0.5 normalized frequency
req_atten - atten at modeling time (not important), used for check
atten_3db - resulting attenuation at -3 dB point.

fo	hl	tb	pwr	atten	req_atten	atten_3db
7.8560838763e-001	2.0366381332e+001	2.7987433396e-001	3.5000000000e-001	-36.714712	-37.21118	-3.01626
7.9871943023e-001	2.2035272129e+001	2.6175714490e-001	3.5000000000e-001	-38.297324	-37.42473	-3.01138
8.1672271184e-001	2.3704495687e+001	2.3999136259e-001	3.5000000000e-001	-36.559173	-37.52967	-3.00519
8.2947987716e-001	2.5673919991e+001	2.2427887950e-001	3.5000000000e-001	-36.970971	-36.44164	-3.02216
8.4276984659e-001	2.7795963625e+001	2.0570570184e-001	3.5000000000e-001	-37.142105	-37.62737	-3.01504
8.5367494629e-001	3.0184978618e+001	1.9080705016e-001	3.5000000000e-001	-37.945707	-37.67396	-3.00850
8.6573992244e-001	3.2740751888e+001	1.7573462977e-001	3.5000000000e-001	-37.436756	-37.44477	-3.01500
8.7675802727e-001	3.5562233399e+001	1.6124869667e-001	3.5000000000e-001	-37.335673	-37.67329	-3.01217
8.8613368562e-001	3.8704567399e+001	1.4867084530e-001	3.5000000000e-001	-37.799049	-37.79995	-3.00811
8.9547629140e-001	4.2130834081e+001	1.3699357141e-001	3.5000000000e-001	-37.682808	-37.56936	-3.00640
9.0416754521e-001	4.5898439489e+001	1.2520545860e-001	3.5000000000e-001	-37.517251	-37.39668	-3.01136
9.1208100603e-001	5.0050233473e+001	1.1516004435e-001	3.5000000000e-001	-37.604236	-37.52319	-3.01114
9.1940891599e-001	5.4616453196e+001	1.0531152569e-001	3.5000000000e-001	-37.651164	-37.65561	-3.00915
9.2635637121e-001	5.9627526886e+001	9.6325093936e-002	3.5000000000e-001	-37.464200	-37.58454	-3.01100
9.3251654462e-001	6.5156992360e+001	8.8297411098e-002	3.5000000000e-001	-37.519365	-37.48050	-3.01231
9.3828010320e-001	7.1232428869e+001	8.0697850357e-002	3.5000000000e-001	-37.555630	-37.60768	-3.00947
9.4356388860e-001	7.7916894309e+001	7.3781080165e-002	3.5000000000e-001	-37.528031	-37.49357	-3.01078
9.4843538828e-001	8.5268354133e+001	6.7415698495e-002	3.5000000000e-001	-37.517897	-37.48802	-3.01071
9.5290434398e-001	9.3355306415e+001	6.1576638349e-002	3.5000000000e-001	-37.516349	-37.48839	-3.01065
9.5698782629e-001	1.0225265362e+002	5.6238128202e-002	3.5000000000e-001	-37.563013	-37.55717	-3.01006
9.6075568007e-001	1.1203680751e+002	5.1323439873e-002	3.5000000000e-001	-37.566845	-37.56434	-3.00994
9.6418933909e-001	1.2280160577e+002	4.6839598456e-002	3.5000000000e-001	-37.564782	-37.57456	-3.00960
9.6733829088e-001	1.3464203810e+002	4.2709258422e-002	3.5000000000e-001	-37.560848	-37.56632	-3.01008
9.7023082926e-001	1.4766469442e+002	3.8933311342e-002	3.5000000000e-001	-37.532949	-37.55496	-3.01043
9.7285587732e-001	1.6199287735e+002	3.5506441517e-002	3.5000000000e-001	-37.547544	-37.54086	-3.01099
9.7526649802e-001	1.7775171755e+002	3.2352556882e-002	3.5000000000e-001	-37.529169	-37.51792	-3.01083
9.7746126956e-001	1.9508785723e+002	2.9477297859e-002	3.5000000000e-001	-37.551672	-37.55936	-3.01015
9.7946734419e-001	2.1415712153e+002	2.6851199590e-002	3.5000000000e-001	-37.549275	-37.54778	-3.01029
9.8129998047e-001	2.3513288736e+002	2.4456599926e-002	3.5000000000e-001	-37.550103	-37.55609	-3.01021
9.8297036911e-001	2.5820665152e+002	2.2273738441e-002	3.5000000000e-001	-37.550479	-37.54981	-3.01002
9.8449612125e-001	2.8358713689e+002	2.0276322090e-002	3.5000000000e-001	-37.544612	-37.55128	-3.01033
9.8588535147e-001	3.1150628161e+002	1.8459248040e-002	3.5000000000e-001	-37.545988	-37.55111	-3.01024
9.8715114823e-001	3.4221753024e+002	1.6803458188e-002	3.5000000000e-001	-37.548906	-37.54876	-3.01029
9.8830589792e-001	3.7599944663e+002	1.5293709767e-002	3.5000000000e-001	-37.551490	-37.55052	-3.01023
9.8935757034e-001	4.1315974128e+002	1.3918034229e-002	3.5000000000e-001	-37.547158	-37.54561	-3.01034
9.9031567315e-001	4.5403602281e+002	1.2665097744e-002	3.5000000000e-001	-37.547645	-37.54711	-3.01033
9.9118835920e-001	4.9899989637e+002	1.1524087167e-002	3.5000000000e-001	-37.548710	-37.55057	-3.01027
9.9198291076e-001	5.4846023200e+002	1.0484706197e-002	3.5000000000e-001	-37.549482	-37.54905	-3.01035
9.9270648636e-001	6.0286651023e+002	9.5386185717e-003	3.5000000000e-001	-37.548638	-37.54997	-3.01030
9.9336511096e-001	6.6271347500e+002	8.6771284481e-003	3.5000000000e-001	-37.548727	-37.54952	-3.01031
9.9396463662e-001	7.2854512365e+002	7.8931229930e-003	3.5000000000e-001	-37.548981	-37.54880	-3.01035
9.9451031032e-001	8.0095991941e+002	7.1795217676e-003	3.5000000000e-001	-37.548391	-37.54810	-3.01034
9.9500688934e-001	8.8061620194e+002	6.5300778472e-003	3.5000000000e-001	-37.548433	-37.54862	-3.01032
9.9545874673e-001	9.6823812111e+002	5.9391162055e-003	3.5000000000e-001	-37.548781	-37.54883	-3.01031
9.9586990100e-001	1.0646222124e+003	5.4013866311e-003	3.5000000000e-001	-37.547980	-37.54856	-3.01038
9.9624396969e-001	1.1706447160e+003	4.9121913121e-003	3.5000000000e-001	-37.547549	-37.54886	-3.01036
9.9658424129e-001	1.2872695149e+003	4.4671550320e-003	3.5000000000e-001	-37.548349	-37.54875	-3.01035

7.7102535781e-001	2.5109420597e+001	2.8985443428e-001	4.9928877726e-001	-48.387481	-47.59468	-3.01015
7.9178382641e-001	2.6896230119e+001	2.6573879343e-001	4.9928877726e-001	-43.997167	-44.93501	-3.00944
8.0382730540e-001	2.9142578067e+001	2.4902433986e-001	4.9928877726e-001	-47.337870	-47.02038	-3.01176
8.2077760322e-001	3.1394813770e+001	2.2803328566e-001	4.9928877726e-001	-44.956861	-45.18479	-3.00902
8.3305024494e-001	3.4025529879e+001	2.1212656961e-001	4.9928877726e-001	-46.073427	-46.31888	-3.01257
8.4562600885e-001	3.6871469508e+001	1.9615207640e-001	4.9928877726e-001	-46.723995	-46.44178	-3.01126
8.5817143564e-001	3.9965698619e+001	1.8022624374e-001	4.9928877726e-001	-46.410985	-45.92741	-3.00972
8.6977665977e-001	4.3375690336e+001	1.6580430293e-001	4.9928877726e-001	-45.508817	-45.65674	-3.00816
