Data set for transition bands 0.5%..25%, using the "Blackman-Nuttall" window
----------------------------------------------------------------------------

Precise "fo", "hl" and "pwr" values for the specified "transition band" and
"attenuation" values. This data set can be used directly, or used for
obtaining equations (e.g. via the "Eureqa" application).

fo - "-3 dB" frequency offset multiplier
hl - length of half-band filter in samples (taps)
tb - transition band in percent * 0.01
pwr - power factor used in the generateBandPow() function
atten - resulting attenuation at 0.5 normalized frequency
req_atten - atten at modeling time (not important), used for check
atten_3db - resulting attenuation at -3 dB point.

fo	hl	tb	pwr	atten	req_atten	atten_3db
7.8381608267e-001	2.0412951908e+001	2.8016748249e-001	2.5000000000e-001	-38.031215	-38.12678	-3.01322
7.9565581191e-001	2.2120117438e+001	2.6387973884e-001	2.5000000000e-001	-42.199744	-41.62708	-2.98825
8.1203901583e-001	2.3841218984e+001	2.4380981193e-001	2.5000000000e-001	-42.041116	-39.61758	-3.00220
8.2978707279e-001	2.5664415244e+001	2.2365084952e-001	2.5000000000e-001	-37.697597	-36.77906	-3.02523
8.3975988025e-001	2.7895593194e+001	2.0728840596e-001	2.5000000000e-001	-41.439176	-39.34378	-3.02514
8.5258185997e-001	3.0223678464e+001	1.9125295423e-001	2.5000000000e-001	-40.172390	-40.35219	-2.99379
8.6524750811e-001	3.2759384724e+001	1.7581810763e-001	2.5000000000e-001	-38.559718	-38.33226	-3.02397
8.7766709916e-001	3.5525398673e+001	1.5934998516e-001	2.5000000000e-001	-37.490242	-38.27196	-3.01904
8.8610857802e-001	3.8705664081e+001	1.4813618669e-001	2.5000000000e-001	-38.945609	-39.33871	-3.00693
8.9463450614e-001	4.2170476096e+001	1.3752284484e-001	2.5000000000e-001	-39.767683	-39.96039	-2.93870
9.0319970413e-001	4.5947622848e+001	1.2568480299e-001	2.5000000000e-001	-39.811924	-40.04009	-3.01160
9.1136688773e-001	5.0089451255e+001	1.1558748056e-001	2.5000000000e-001	-39.631733	-39.82111	-2.95037
9.1923753761e-001	5.4626635634e+001	1.0506353619e-001	2.5000000000e-001	-38.971631	-39.24729	-3.00786
9.2658863625e-001	5.9612580242e+001	9.5556090823e-002	2.5000000000e-001	-38.143024	-38.51729	-3.01624
9.3237642058e-001	6.5166784608e+001	8.8181360583e-002	2.5000000000e-001	-38.600378	-38.43271	-3.01696
9.3830099632e-001	7.1230842739e+001	8.0382040205e-002	2.5000000000e-001	-38.565709	-38.81864	-3.00836
9.4316697645e-001	7.7949684009e+001	7.3884048810e-002	2.5000000000e-001	-39.323230	-39.49645	-3.01099
9.4832701131e-001	8.5278098794e+001	6.7238486798e-002	2.5000000000e-001	-38.608015	-38.47388	-3.01087
9.5281203783e-001	9.3364350453e+001	6.1410168165e-002	2.5000000000e-001	-38.601871	-38.47859	-3.01083
9.5679165325e-001	1.0227361870e+002	5.6214934157e-002	2.5000000000e-001	-39.071283	-39.20590	-3.00539
9.6050684567e-001	1.1206583240e+002	5.1384959009e-002	2.5000000000e-001	-39.019866	-38.95111	-3.01460
9.6409760805e-001	1.2281328998e+002	4.6673020425e-002	2.5000000000e-001	-38.838261	-38.96989	-3.01393
9.6723444415e-001	1.3465649389e+002	4.2638543345e-002	2.5000000000e-001	-38.902638	-39.01338	-3.00919
9.7020618778e-001	1.4766844484e+002	3.8770315042e-002	2.5000000000e-001	-38.623902	-38.74452	-3.01294
9.7271990279e-001	1.6201552200e+002	3.5521213626e-002	2.5000000000e-001	-39.052419	-39.13579	-2.99180
9.7512821121e-001	1.7777692523e+002	3.2377350572e-002	2.5000000000e-001	-39.094846	-39.16067	-3.01286
9.7740478804e-001	1.9509913082e+002	2.9390520954e-002	2.5000000000e-001	-38.801323	-38.88376	-3.01246
9.7937882898e-001	2.1417647682e+002	2.6830667794e-002	2.5000000000e-001	-38.977254	-39.04224	-3.00796
9.8125039343e-001	2.3514476969e+002	2.4390815028e-002	2.5000000000e-001	-38.808727	-38.87629	-3.01207
9.8289984600e-001	2.5822517786e+002	2.2263719996e-002	2.5000000000e-001	-38.949711	-39.00490	-2.99868
9.8446068790e-001	2.8359734394e+002	2.0220186350e-002	2.5000000000e-001	-38.764019	-38.82109	-3.01173
9.8584995467e-001	3.1151746620e+002	1.8420786716e-002	2.5000000000e-001	-38.788341	-38.83778	-3.00981
9.8709964595e-001	3.4223538557e+002	1.6786328401e-002	2.5000000000e-001	-38.930876	-38.97201	-3.00884
9.8825274480e-001	3.7601966974e+002	1.5286030107e-002	2.5000000000e-001	-38.925968	-38.90358	-3.01156
9.8932121068e-001	4.1317492577e+002	1.3895863976e-002	2.5000000000e-001	-38.824881	-38.80243	-3.01045
9.9027606222e-001	4.5405418420e+002	1.2652619760e-002	2.5000000000e-001	-38.930526	-38.96162	-3.00920
9.9115918411e-001	4.9901458459e+002	1.1502395412e-002	2.5000000000e-001	-38.855304	-38.88594	-3.01114
9.9195123905e-001	5.4847774362e+002	1.0471859706e-002	2.5000000000e-001	-38.879312	-38.86314	-3.01042
9.9268125771e-001	6.0288183188e+002	9.5221372665e-003	2.5000000000e-001	-38.866507	-38.89181	-3.01100
9.9334144903e-001	6.6272926119e+002	8.6650211771e-003	2.5000000000e-001	-38.876978	-38.89925	-3.01009
9.9394145040e-001	7.2856211882e+002	7.8846187750e-003	2.5000000000e-001	-38.876857	-38.86531	-3.01099
9.9449034797e-001	8.0097599703e+002	7.1707293126e-003	2.5000000000e-001	-38.859532	-38.84899	-3.01093
9.9498797481e-001	8.8063294229e+002	6.5226556834e-003	2.5000000000e-001	-38.873854	-38.86446	-3.01088
9.9544091703e-001	9.6825546357e+002	5.9328710138e-003	2.5000000000e-001	-38.887044	-38.87856	-3.01080
9.9585430417e-001	1.0646388862e+003	5.3951742505e-003	2.5000000000e-001	-38.874330	-38.86626	-3.01074
9.9623024187e-001	1.1706608472e+003	4.9050222143e-003	2.5000000000e-001	-38.877843	-38.89052	-3.01067
9.9657239364e-001	1.2872848185e+003	4.4606931116e-003	2.5000000000e-001	-38.861818	-38.87328	-3.01020

7.7048880022e-001	3.0403556799e+001	2.8332608242e-001	4.3330820074e-001	-62.812304	-59.54022	-3.00873
7.8742759331e-001	3.2724481868e+001	2.6260952453e-001	4.3330820074e-001	-59.324220	-57.43438	-3.00697
